,school,sex,age,Medu,Fedu,at_home,health,other,services,teacher,F at_home,F health,F other,F services,F teacher,father,mother,other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,goout,Dalc,Walc,health,absences
95,1,1,15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,1,1,1,1,1,1,2,1,1,1,4
96,1,0,16,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,1,1,1,1,1,1,3,1,1,4,6
97,1,1,16,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,5,1,1,5,0
98,1,1,16,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,4,1,2,1,4
99,1,1,16,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,0,0,1,1,5,1,1,3,2
100,1,0,16,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,5,5,5,4,12
101,1,0,16,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,1,1,1,3,1,1,4,0
102,1,0,15,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,3,1,1,5,2
103,1,1,15,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,1,0,0,1,1,5,1,1,2,16
104,1,0,15,3,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,4,1,1,1,0
105,1,1,15,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,1,0,0,0,1,0,3,1,1,4,10
106,1,1,15,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,1,1,0,0,1,1,2,1,1,3,4
107,1,0,16,3,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,3,1,1,5,4
108,1,0,15,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0,4,4,0,0,1,0,1,1,1,5,3,5,1,8
109,1,1,16,4,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,5,1,1,4,2
110,1,0,15,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,3,1,1,4,4
111,1,1,16,3,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,1,1,0,1,1,1,2,1,1,2,4
112,1,1,16,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,2,1,1,5,12
113,1,0,15,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,1,3,10
114,1,0,15,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,2,1,1,5,4
115,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,1,4,1,2,5,6
116,1,0,15,4,4,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,1,1,0,3,1,1,2,4
117,1,0,16,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,2,1,1,5,6
118,1,0,17,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,3,2,1,0,1,0,1,1,1,4,1,4,5,14
119,1,0,15,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,1,2,4,2
120,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,3,1,2,1,0
121,1,0,15,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,4,0,0,1,0,1,1,1,4,1,2,5,6
122,1,1,16,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,0,1,0,1,1,1,2,1,2,5,2
123,1,0,16,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,4,1,4,5,4
124,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,4,1,1,5,0
125,1,0,15,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,5,3,2,5,2
126,1,1,15,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,1,1,2,1,1,1,0
127,1,1,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0,1,0,0,0,0,2,1,1,5,0
128,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,5,2,5,4,8
129,1,0,16,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,2,3,0,0,1,0,0,1,1,3,2,2,1,4
130,1,1,15,3,4,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,1,0,0,1,1,2,2,2,5,0
131,1,1,18,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,3,0,1,0,1,0,1,5,1,3,5,10
132,1,1,17,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,1,1,2,1,2,5,8
133,1,1,15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,1,1,1,3,1,2,4,6
134,1,1,17,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,4,1,3,5,2
135,1,1,16,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,4,5,12
136,1,0,16,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,1,1,2,4
137,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,4,1,1,5,12
138,1,0,15,3,4,1,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,1,0,0,1,0,3,1,1,5,2
139,1,1,15,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,1,5,4
140,1,0,17,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,1,0,5,2,4,5,2
141,1,1,16,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,1,0,0,1,0,3,1,1,3,0
142,1,0,18,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,1,4,4,5,4,2
143,1,1,18,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3,0,0,1,0,1,1,1,3,5,1,5,10
144,1,1,16,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,1,1,0,3,1,2,1,8
145,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,1,1,1,2,1,1,5,4
146,1,0,16,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,1,0,4,1,3,5,0
147,1,1,15,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,1,1,2,1,1,5,6
148,1,1,15,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,1,1,1,5,1,1,1,2
149,1,0,15,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,2,4,0,1,1,0,0,1,1,2,1,1,3,6
150,1,1,15,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,2,2,3,1,24
151,1,0,16,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,3,1,3,5,0
152,1,0,16,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,1,1,1,3,2,2,2,4
153,1,1,15,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,1,1,2,1,1,5,2
154,1,1,16,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4,3,3,1,4
155,1,0,17,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,5,1,2,5,22
156,1,1,15,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,2,1,2,5,0
157,1,1,15,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,1,0,1,2,1,1,5,0
158,1,1,15,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,1,2,1,1,3,2
159,1,1,15,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,2,1,1,5,6
160,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,4,2,4,1,6
161,1,0,16,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,2,2,1,5,16
162,1,0,15,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,1,5,2,5,5,0
163,1,0,18,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,1,5,2,5,4,0
164,1,0,16,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,4,3,5,5,6
165,1,1,15,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3,0,0,1,1,1,1,1,1,2,3,3,2
166,1,0,19,3,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,4,1,1,4,6
167,1,1,17,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,4,0
168,1,0,15,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,1,1,1,0,4,1,1,1,0
169,1,0,17,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,3,0,0,0,0,1,0,2,3,3,5,14
170,1,1,18,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,3,0,1,0,1,1,0,5,1,5,4,6
171,1,0,16,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,2,1,2,3,4
172,1,0,16,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,1,5,4,4,5,0
173,1,0,16,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,1,1,5,3,5,5,0
174,1,0,17,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,1,1,0,1,2,2,2,5,8
175,1,0,17,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,2,1,1,0,0,1,1,4,1,4,3,4
176,1,0,15,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,1,0,4,2,4,5,2
177,1,0,16,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,3,1,4,2,2
178,1,0,17,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,1,0,0,5,1,5,5,0
179,1,0,17,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,3,0,1,0,1,0,0,2,1,1,2,10
180,1,0,16,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,5,2,4,4,0
181,1,1,16,4,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,1,3,1,1,3,0
182,1,1,16,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,5,1,1,4,0
183,1,1,16,4,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,2,1,1,3,0
184,1,0,16,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,3,1,1,0,1,0,1,1,1,5,2,4,2,4
185,1,0,16,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,2,1,1,3,0
186,1,0,17,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,4,1,3,5,0
187,1,1,16,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,5,1,1,3,0
188,1,1,16,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,1,1,1,5,1,1,4,0
189,1,0,17,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,1,1,4,4,4,4,0
190,1,1,16,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,1,1,4,1,4,5,0
191,1,0,17,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,1,4,1,4,4,4
192,1,0,16,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,3,3,4,3,8
193,1,0,17,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,3,1,1,2,4
194,1,0,16,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,3,2,3,3,4
195,1,0,16,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,3,1,2,3,0
196,1,1,17,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,1,0,2,2,3,5,0
197,1,1,17,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,3,2,3,1,32
198,1,1,16,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,2,1,2,1,8
199,1,0,17,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,4,2,3,4,6
200,1,0,16,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,3,1,2,3,0
201,1,0,16,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,3,1,2,5,0
202,1,1,17,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,3,1,3,3,10
203,1,0,17,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,3,1,5,3,6
204,1,1,16,2,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,3,1,1,2,6
205,1,1,17,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,3,1,1,3,0
206,1,0,17,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,1,1,1,4,4,5,5,16
207,1,0,16,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,2,3,4,5,0
